letra,esperada_pt,claro,cifrado
A,0.14630000,0.15806112,0.05795574
B,0.01040000,0.00210748,0.01264489
C,0.03880000,0.05374078,0.04636459
D,0.04990000,0.06954689,0.03371970
E,0.12570000,0.12855638,0.06849315
F,0.01020000,0.01053741,0.03266596
G,0.01300000,0.01685985,0.07165437
H,0.01280000,0.01369863,0.02318230
I,0.06180000,0.05374078,0.03898841
J,0.00400000,0.00105374,0.03688093
K,0.00020000,0.00000000,0.03055848
L,0.02780000,0.02107482,0.03055848
M,0.04740000,0.03477345,0.02950474
N,0.05050000,0.04109589,0.03898841
O,0.10730000,0.09272919,0.03055848
P,0.02520000,0.04636459,0.03055848
Q,0.01200000,0.00421496,0.02318230
R,0.06530000,0.07060063,0.06743941
S,0.07810000,0.06427819,0.04636459
T,0.04340000,0.05584826,0.03055848
U,0.04630000,0.03477345,0.05374078
V,0.01670000,0.02107482,0.05057956
W,0.00010000,0.00000000,0.03477345
X,0.00210000,0.00421496,0.02845100
Y,0.00010000,0.00000000,0.02950474
Z,0.00470000,0.00105374,0.02212856
