modo,tamanho_chave,letras_por_posicao,letras_texto,tentativas,sucesso_periodo_conhecido,sucesso_pipeline
ordem_original,3,4,12,60,0.0666667,0.0166667
ordem_original,3,8,24,60,0.316667,0.133333
ordem_original,3,12,36,60,0.683333,0.266667
ordem_original,3,16,48,60,0.833333,0.333333
ordem_original,3,24,72,60,0.983333,0.45
ordem_original,3,32,96,60,1,0.516667
ordem_original,3,48,144,60,1,0.516667
ordem_original,3,64,192,60,1,0.633333
ordem_original,3,96,288,60,1,0.9
ordem_original,3,128,384,60,1,1
ordem_original,6,4,24,60,0,0
ordem_original,6,8,48,60,0.116667,0.0166667
ordem_original,6,12,72,60,0.35,0.15
ordem_original,6,16,96,60,0.633333,0.333333
ordem_original,6,24,144,60,0.966667,0.45
ordem_original,6,32,192,60,1,0.65
ordem_original,6,48,288,60,1,0.716667
ordem_original,6,64,384,60,1,0.816667
ordem_original,6,96,576,60,1,0.783333
ordem_original,6,128,768,60,1,1
ordem_original,9,4,36,60,0,0
ordem_original,9,8,72,60,0.0833333,0
ordem_original,9,12,108,60,0.25,0.116667
ordem_original,9,16,144,60,0.583333,0.3
ordem_original,9,24,216,60,0.966667,0.783333
ordem_original,9,32,288,60,1,0.783333
ordem_original,9,48,432,60,1,0.966667
ordem_original,9,64,576,60,1,0.983333
ordem_original,9,96,864,60,1,1
ordem_original,9,128,1152,60,1,1
ordem_original,12,4,48,60,0,0
ordem_original,12,8,96,60,0.0666667,0.0166667
ordem_original,12,12,144,60,0.166667,0.1
ordem_original,12,16,192,60,0.433333,0.3
ordem_original,12,24,288,60,0.883333,0.783333
ordem_original,12,32,384,60,0.983333,0.883333
ordem_original,12,48,576,60,1,0.983333
ordem_original,12,64,768,60,1,0.95
ordem_original,12,96,1152,60,1,1
ordem_original,12,128,1536,60,1,1
palavras_embaralhadas,3,4,12,60,0.0166667,0
palavras_embaralhadas,3,8,24,60,0.55,0.2
palavras_embaralhadas,3,12,36,60,0.75,0.35
palavras_embaralhadas,3,16,48,60,0.9,0.516667
palavras_embaralhadas,3,24,72,60,0.983333,0.583333
palavras_embaralhadas,3,32,96,60,1,0.716667
palavras_embaralhadas,3,48,144,60,1,0.733333
palavras_embaralhadas,3,64,192,60,1,0.75
palavras_embaralhadas,3,96,288,60,1,0.85
palavras_embaralhadas,3,128,384,60,1,0.95
palavras_embaralhadas,6,4,24,60,0,0
palavras_embaralhadas,6,8,48,60,0.233333,0.0333333
palavras_embaralhadas,6,12,72,60,0.5,0.333333
palavras_embaralhadas,6,16,96,60,0.833333,0.416667
palavras_embaralhadas,6,24,144,60,0.933333,0.583333
palavras_embaralhadas,6,32,192,60,1,0.766667
palavras_embaralhadas,6,48,288,60,1,0.8
palavras_embaralhadas,6,64,384,60,1,0.75
palavras_embaralhadas,6,96,576,60,1,0.95
palavras_embaralhadas,6,128,768,60,1,0.983333
palavras_embaralhadas,9,4,36,60,0,0
palavras_embaralhadas,9,8,72,60,0.166667,0.0666667
palavras_embaralhadas,9,12,108,60,0.516667,0.283333
palavras_embaralhadas,9,16,144,60,0.65,0.433333
palavras_embaralhadas,9,24,216,60,0.933333,0.666667
palavras_embaralhadas,9,32,288,60,0.983333,0.666667
palavras_embaralhadas,9,48,432,60,1,0.833333
palavras_embaralhadas,9,64,576,60,1,0.9
palavras_embaralhadas,9,96,864,60,1,0.983333
palavras_embaralhadas,9,128,1152,60,1,1
palavras_embaralhadas,12,4,48,60,0,0
palavras_embaralhadas,12,8,96,60,0.0666667,0.0166667
palavras_embaralhadas,12,12,144,60,0.366667,0.166667
palavras_embaralhadas,12,16,192,60,0.55,0.4
palavras_embaralhadas,12,24,288,60,0.983333,0.683333
palavras_embaralhadas,12,32,384,60,0.983333,0.733333
palavras_embaralhadas,12,48,576,60,1,0.95
palavras_embaralhadas,12,64,768,60,1,0.916667
palavras_embaralhadas,12,96,1152,60,1,0.983333
palavras_embaralhadas,12,128,1536,60,1,1
letras_embaralhadas,3,4,12,60,0.1,0.05
letras_embaralhadas,3,8,24,60,0.45,0.1
letras_embaralhadas,3,12,36,60,0.866667,0.466667
letras_embaralhadas,3,16,48,60,0.966667,0.5
letras_embaralhadas,3,24,72,60,0.95,0.6
letras_embaralhadas,3,32,96,60,0.983333,0.65
letras_embaralhadas,3,48,144,60,1,0.783333
letras_embaralhadas,3,64,192,60,1,0.866667
letras_embaralhadas,3,96,288,60,1,0.883333
letras_embaralhadas,3,128,384,60,1,0.95
letras_embaralhadas,6,4,24,60,0,0
letras_embaralhadas,6,8,48,60,0.3,0.1
letras_embaralhadas,6,12,72,60,0.5,0.216667
letras_embaralhadas,6,16,96,60,0.866667,0.5
letras_embaralhadas,6,24,144,60,0.983333,0.7
letras_embaralhadas,6,32,192,60,0.966667,0.75
letras_embaralhadas,6,48,288,60,1,0.883333
letras_embaralhadas,6,64,384,60,1,0.9
letras_embaralhadas,6,96,576,60,1,0.916667
letras_embaralhadas,6,128,768,60,1,1
letras_embaralhadas,9,4,36,60,0,0
letras_embaralhadas,9,8,72,60,0.05,0.0333333
letras_embaralhadas,9,12,108,60,0.283333,0.15
letras_embaralhadas,9,16,144,60,0.616667,0.466667
letras_embaralhadas,9,24,216,60,0.983333,0.683333
